team,division,conference,first_name,last_name,vt_nqs,ub_nqs,bb_nqs,fx_nqs,aa_nqs
Michigan State,Div I,Big Ten,Naya,Howard,,9.810,,,
Michigan State,Div I,Big Ten,Sage,Kellerman,9.935,9.920,,,
Michigan State,Div I,Big Ten,Stephanie,Lebster,,,,9.855,
Michigan State,Div I,Big Ten,Nikki,Smith,9.885,9.885,9.885,9.950,39.540
Michigan State,Div I,Big Ten,Olivia,Zsarmani,9.885,9.725,,,
Minnesota,Div I,Big Ten,Gianna,Gerdes,9.855,9.845,,9.735,
Minnesota,Div I,Big Ten,Jordyn,Lyden,,9.920,9.910,9.910,
Minnesota,Div I,Big Ten,Sarah,Moraw,9.840,,9.895,,
Minnesota,Div I,Big Ten,Lauren,Pearl,,,9.875,,
Minnesota,Div I,Big Ten,Emma,Slevin,9.765,9.905,,,
Missouri,Div I,SEC,Makayla,Green,,9.850,,,
Missouri,Div I,SEC,Addison,Lawrence,,,9.945,,
Missouri,Div I,SEC,Lauren,Macpherson,,9.830,9.900,,
Missouri,Div I,SEC,Elise,Tisler,9.870,,,9.890,
Missouri,Div I,SEC,Amy,Wier,,,9.865,,
Nebraska,Div I,Big Ten,Reese,Baechle,9.815,,,9.765,
Nebraska,Div I,Big Ten,Allie,Gard,,,9.775,9.730,
Nebraska,Div I,Big Ten,Lauren,Homecillo,,,9.800,9.870,
Nebraska,Div I,Big Ten,Nya,Kraus,,9.835,9.825,9.825,
New Hampshire,Div I,EAGL,McCall,McMullen,9.790,,9.665,9.870,
North Carolina,Div I,ACC,Gwen,Fink,9.850,9.875,9.870,9.815,39.290
North Carolina,Div I,ACC,Kaya,Forbes,9.895,,,9.865,
North Carolina,Div I,ACC,Paige,Prejean,9.825,9.860,,,
North Carolina,Div I,ACC,Claire,Stippich,,9.800,9.805,,
North Carolina State,Div I,ACC,Meg,Adler,,,,9.835,
North Carolina State,Div I,ACC,Emerson,Fisk,9.765,9.765,,9.835,
North Carolina State,Div I,ACC,Elle,Hadrick,,9.900,,9.885,
North Carolina State,Div I,ACC,Maddie,Hall,9.810,,9.840,,
North Carolina State,Div I,ACC,Katie,Harper,,9.865,9.805,9.735,
North Carolina State,Div I,ACC,Ava,Myers,9.845,9.845,,,
North Carolina State,Div I,ACC,Autumn,Rardin,9.785,,9.825,9.880,
North Carolina State,Div I,ACC,Madeline,Reid,,9.860,,,
North Carolina State,Div I,ACC,Jenna,Rusk,,8.600,,,
North Carolina State,Div I,ACC,Adasyn,Tackett,,,9.860,,
North Carolina State,Div I,ACC,Syniya,Thomas,9.875,,9.865,9.900,
North Carolina State,Div I,ACC,Caroline,Volk,,9.875,9.835,,
North Carolina State,Div I,ACC,Lauren,Wright,9.840,,,,
Northern Illinois,Div I,MAC,Mikayla,Brown,9.605,,9.805,9.780,
Northern Illinois,Div I,MAC,Jocelyn,Harbeck,9.740,,9.695,9.755,
Northern Illinois,Div I,MAC,Samantha,Nickle,9.675,,9.645,9.740,
Ohio State,Div I,Big Ten,Kaitlyn,Grimes,9.830,,,9.865,
Ohio State,Div I,Big Ten,Rylee,Guevara,,,9.835,9.865,
Ohio State,Div I,Big Ten,Tory,Vetter,9.850,9.850,9.895,9.895,39.410
Oklahoma,Div I,SEC,Faith,Torrez,,9.910,9.960,,
Oregon State,Div I,PAC-12,Francesca,Caso,,9.815,,,
Oregon State,Div I,PAC-12,Lauren,Letzsch,,,9.865,,
Oregon State,Div I,PAC-12,Savannah,Miller,9.770,9.790,,9.870,
Oregon State,Div I,PAC-12,Ellie,Weaver,,9.885,9.805,,
Penn State,Div I,Big Ten,Jessica,Johanson,9.830,9.795,,9.840,
Penn State,Div I,Big Ten,Ava,Piedrahita,9.880,9.875,,,
Pennsylvania,Div I,GEC,Jordan,Barrow,9.835,9.800,9.810,,
Pennsylvania,Div I,GEC,Mimi,Fletcher,,,9.815,9.775,
Pennsylvania,Div I,GEC,Manama,Fofana,9.815,,9.800,9.875,
Pennsylvania,Div I,GEC,Skylar,Goodstadt,,9.685,,,
Pennsylvania,Div I,GEC,Ava,Hooten,,,,9.820,
Pennsylvania,Div I,GEC,Marissa,Lassiter,9.755,9.760,,9.835,
Pennsylvania,Div I,GEC,Maggie,Murphy,9.775,,9.820,9.800,
Pennsylvania,Div I,GEC,Sophia,Paris,,9.785,,,
Pennsylvania,Div I,GEC,Ananya,Patanakul,9.775,,,,
Pennsylvania,Div I,GEC,Alyssa,Rosen,,,,9.745,
Pennsylvania,Div I,GEC,Luci,Toczydlowski,,9.815,,,
Pennsylvania,Div I,GEC,Alisha,Werlen,,,9.795,,
Pennsylvania,Div I,GEC,Ruth,Whaley,,9.710,9.775,,
Pennsylvania,Div I,GEC,Sienna,Zuccaro,9.755,,,,
Pittsburgh,Div I,ACC,Hallie,Copperwheat,,9.880,9.820,9.815,
Pittsburgh,Div I,ACC,Kennedy,Duke,9.780,9.770,,,
Pittsburgh,Div I,ACC,Jaime,Pratt,9.715,9.860,,9.310,
Rutgers,Div I,Big Ten,Gabrielle,Dildy,9.845,9.855,9.825,9.915,39.400
Rutgers,Div I,Big Ten,Emily,Leese,9.855,,,9.895,
Rutgers,Div I,Big Ten,Rachael,Riley,9.810,,9.820,,
S.E. Missouri,Div I,MIC,Kailyn,Hamilton,9.720,9.670,,9.710,
S.E. Missouri,Div I,MIC,Joselene,Hernandez,9.770,9.575,,,
S.E. Missouri,Div I,MIC,Taylor,Ingle,9.835,9.780,9.780,9.835,39.105
S.E. Missouri,Div I,MIC,Ava,Johnston,,9.740,,,
S.E. Missouri,Div I,MIC,Gracie,Jones,,9.735,,,
S.E. Missouri,Div I,MIC,Jaidan,Kossuth,9.750,,9.830,9.760,
S.E. Missouri,Div I,MIC,Ailey,Kuehn,9.715,,9.500,,
S.E. Missouri,Div I,MIC,Amelia,May,,9.600,,,
S.E. Missouri,Div I,MIC,Jordan,Napolitano,,,9.730,,
S.E. Missouri,Div I,MIC,Leah,Parton,,,9.795,9.745,
S.E. Missouri,Div I,MIC,Anna Lee,Phillips,,,,9.680,
S.E. Missouri,Div I,MIC,Nyah,Reader,9.645,,9.810,9.580,
S.E. Missouri,Div I,MIC,Reagan,Sams,,,,9.790,
Sacramento State,Div I,MPSF,Emily,Countryman,,,,9.660,
Sacramento State,Div I,MPSF,Kara,Houghton,,9.825,9.775,9.855,
Sacramento State,Div I,MPSF,Maliyah,James,,9.510,,,
Sacramento State,Div I,MPSF,Sarah,Lutrel,9.765,9.610,9.815,9.790,38.645
Southern Utah,Div I,MPSF,Alyssa,Fernandez,,,,9.810,
Southern Utah,Div I,MPSF,Vinciane,Le Pen,9.795,,,,
Southern Utah,Div I,MPSF,Marisa,de Groot,,,9.470,,
Stanford,Div I,ACC,Claire,Dean,,,9.880,,
Stanford,Div I,ACC,Taralyn,Nguyen,9.890,,,9.865,
Stanford,Div I,ACC,Anna,Roberts,9.910,9.920,9.930,9.940,39.630
Stanford,Div I,ACC,Ava,Sorrento,,9.845,,,
Temple,Div I,EAGL,Reese,DeHaan,,9.730,,,
Temple,Div I,EAGL,Jade,Harden,9.775,,,,
Temple,Div I,EAGL,Kyrstin,Johnson,9.725,,,9.670,
Towson,Div I,EAGL,Polina,Belanovski,9.835,9.770,9.700,9.835,38.965
Towson,Div I,EAGL,Carmella,Calafati,,,,9.865,
Towson,Div I,EAGL,Isabella,DeCroo,9.810,,,9.870,
Towson,Div I,EAGL,Lauren,Greene,,9.815,,,
Towson,Div I,EAGL,Adriana,Hoffman,9.825,,,9.870,
Towson,Div I,EAGL,Isabella,Minervini,9.800,9.930,9.830,9.885,39.290
Towson,Div I,EAGL,Celia,Trotter,,,9.835,,
UC Davis,Div I,MPSF,Milla,Gideon,,9.140,,,
UC Davis,Div I,MPSF,Amelia,Moneymaker,9.795,9.840,9.875,9.880,39.305
UC Davis,Div I,MPSF,Sierra,Muns,9.590,,,9.485,
UC Davis,Div I,MPSF,Jehaan,Poonja,,9.660,9.755,,
UCLA,Div I,Big Ten,Ciena,Alipio,,9.830,9.950,9.860,
UCLA,Div I,Big Ten,Madisyn,Anyimi,9.805,,,,
UCLA,Div I,Big Ten,Jordan,Chiles,9.950,9.950,9.955,9.995,39.785
Utah,Div I,Big 12,Ashley,Glynn,9.895,,,9.705,
Utah,Div I,Big 12,Ana,Padurariu,,9.925,9.880,,
Utah,Div I,Big 12,Makenna,Smith,9.915,9.875,9.660,9.935,39.235
Utah State,Div I,MW,Avery,Bibbey,,9.825,,,
Utah State,Div I,MW,Nyla,Morabito,9.855,,9.505,9.850,
Utah State,Div I,MW,Chelsea,Southam,9.725,,,9.825,
Utah State,Div I,MW,Lundyn,VanderToolen,9.805,9.860,,,
Washington,Div I,Big Ten,Caitlin,McWilliams,9.715,9.735,,9.875,
Washington,Div I,Big Ten,Deiah,Moody,,9.845,9.855,,
Washington,Div I,Big Ten,Lana,Navarro,,,9.820,,
Washington,Div I,Big Ten,Olivia,Oppegard,,9.765,9.820,,
Washington,Div I,Big Ten,Lilly,Tubbs,9.830,9.895,9.870,,
Western Michigan,Div I,MAC,Makenna,King,9.785,9.780,,,
William &amp; Mary,Div I,GEC,Catherine,Bare,9.670,9.710,,,
William &amp; Mary,Div I,GEC,Hannah,Burke,9.715,,,9.815,
William &amp; Mary,Div I,GEC,Ascha,Laird,,9.660,,,
William &amp; Mary,Div I,GEC,Michelle,Ngo,,9.610,,9.735,
William &amp; Mary,Div I,GEC,Brynn,Vetrano,,,,9.405,
Yale,Div I,GEC,Megan,Brueck,,,,9.735,
Yale,Div I,GEC,Lauren,Holt,,9.665,,,
Yale,Div I,GEC,Gigi,Sabatini,9.730,9.665,9.735,9.795,38.725
Yale,Div I,GEC,Hana,Strause,,,9.785,9.780,
Bridgeport,Div II,GEC,Margaret,Coyle,,,,9.730,
Bridgeport,Div II,GEC,Xiomara,Jennings,,,9.685,,
Bridgeport,Div II,GEC,Abigail,Kenney,9.770,9.790,9.775,9.820,38.970
Bridgeport,Div II,GEC,Tamyra,Singletary,9.655,,,9.715,
Bridgeport,Div II,GEC,Rian,Thompkins,,,9.705,,
Bridgeport,Div II,GEC,Skyler,Vulchev,,,,9.715,
Bridgeport,Div II,GEC,Brooklyn,Weingardt,9.585,,,,
Fisk,Div II,Ind.,Allie,Berkley,9.680,,9.590,9.545,
Fisk,Div II,Ind.,Zyia,Coleman,9.375,9.440,,9.670,
Fisk,Div II,Ind.,Hadassah,Diggs,9.590,9.065,9.490,,
Fisk,Div II,Ind.,Liberty,Mora,,,9.360,9.560,
Fisk,Div II,Ind.,Sophia,Pratt,,7.875,9.455,,
Fisk,Div II,Ind.,Aliyah,Reed-Hammon,9.660,,9.780,9.610,
Southern Conn.,Div II,GEC,Libby,Allen,9.620,,9.555,9.715,
Southern Conn.,Div II,GEC,Zoe,Axell,,9.520,,9.735,
Southern Conn.,Div II,GEC,Grace,Christensen,,9.185,,,
Southern Conn.,Div II,GEC,Maria,Chronopoulos,,,9.690,,
Southern Conn.,Div II,GEC,Maria,Damiano,,,9.605,,
Southern Conn.,Div II,GEC,Gabriela,Dinisoe,,9.575,9.745,,
Southern Conn.,Div II,GEC,Autumn,Everett,9.575,,,,
Southern Conn.,Div II,GEC,Haley,Fitzgerald,,,,9.550,
Southern Conn.,Div II,GEC,Hannah,Fitzgerald,9.670,9.575,,,
Southern Conn.,Div II,GEC,Ava,Kelly,9.655,,,9.740,
Southern Conn.,Div II,GEC,Abby,Royer,,,,9.905,
Southern Conn.,Div II,GEC,Gianna,Schibi,,9.515,,,
Southern Conn.,Div II,GEC,Lola,Sepulveda,9.690,9.640,,9.750,
Southern Conn.,Div II,GEC,Angelina,Stanfa,,,9.655,9.730,
Southern Conn.,Div II,GEC,Jordan,Villani,9.715,9.480,,9.635,
Texas Woman's,Div II,MIC,Brooke,Ferrari,,9.820,,,
Texas Woman's,Div II,MIC,Ruby,Goad,,,9.775,,
Texas Woman's,Div II,MIC,Kami,Zarlengo,,9.770,,9.765,
West Chester,Div II,GEC,EmmaGrace,Kelly,,,9.750,,
West Chester,Div II,GEC,Aly,Sobczak,9.580,,,9.680,
Centenary College,Div III,MIC,Peyton,Burford,9.520,,9.135,,
Centenary College,Div III,MIC,Hayden,Cagle,,,9.145,,
Centenary College,Div III,MIC,Skyla,Cruz,,,9.625,,
Centenary College,Div III,MIC,Lelia,Dunlavy,,9.305,,,
Centenary College,Div III,MIC,Claire,Flores,9.580,9.465,,9.590,
Centenary College,Div III,MIC,Amy,Foret,9.610,,9.670,9.665,
Centenary College,Div III,MIC,Chloe,Gilbert,,,9.540,,
Centenary College,Div III,MIC,Anna,Ichiba,9.490,,9.635,9.475,
Centenary College,Div III,MIC,Olivia,Montgomery,9.490,,,,
Centenary College,Div III,MIC,Brooke,Murdock,,,,9.495,
Centenary College,Div III,MIC,Erin,Pinder,,9.410,,,
Centenary College,Div III,MIC,Olivia,Stratmann,,9.135,,,
Centenary College,Div III,MIC,Nyah,Washington,,9.305,,9.170,
Centenary College,Div III,MIC,Olivia,Williams,,9.255,,9.735,
Cortland State,Div III,NCGA East,Autumn,Adkins,,9.625,,9.755,
Cortland State,Div III,NCGA East,Emily,Baradic,,9.525,,,
Cortland State,Div III,NCGA East,Shyann,Bootman,,,9.545,9.740,
Cortland State,Div III,NCGA East,Kyleigh,Brown,9.620,,,,
Cortland State,Div III,NCGA East,Olivia,Chapman,9.600,9.380,,,
Cortland State,Div III,NCGA East,Anna Lee,Dobson,,,9.215,,
Cortland State,Div III,NCGA East,Rylee,Fishkin,,,,9.575,
Cortland State,Div III,NCGA East,Tayah,Graham,9.740,,9.665,,
Cortland State,Div III,NCGA East,Kathryn,McSweeney,,9.625,,,
Cortland State,Div III,NCGA East,Samantha,Meadows,,,9.675,,
Cortland State,Div III,NCGA East,Gianna,Mirigliano,9.660,,9.465,9.575,
Cortland State,Div III,NCGA East,Aria,Roberts,,9.575,,9.695,
Cortland State,Div III,NCGA East,Tessa,Sutton,9.555,,9.555,9.740,
Cortland State,Div III,NCGA East,Lexi,Weber,,,9.365,,
Cortland State,Div III,NCGA East,Kiana,Wong,,9.530,,,
Greenville,Div III,Ind.,Aubrey,Kenimer,,,9.295,9.260,
Greenville,Div III,Ind.,Roya,Zehtab,9.390,,,,
Gustavus Adolphus,Div III,WIAC,Megan,Gille,,,9.445,9.420,
Hamline,Div III,WIAC,Elena,Bailey,9.360,,,,
Hamline,Div III,WIAC,Clara,Gilles,,8.980,,,
Ithaca College,Div III,NCGA East,Taylor,Arias,,,,9.675,
Ithaca College,Div III,NCGA East,Lauren,Babineaux,9.495,9.670,,,
Ithaca College,Div III,NCGA East,Sienna,Blake,,9.300,,,
Ithaca College,Div III,NCGA East,Leanne,Desjardins,,,9.695,,
Ithaca College,Div III,NCGA East,Madelynn,Farragher,9.355,,,9.380,
Ithaca College,Div III,NCGA East,Corey,Foster,,,8.935,,
Ithaca College,Div III,NCGA East,Jillian,Freyman,,,9.020,9.795,
Ithaca College,Div III,NCGA East,Emili,Horike,,,9.615,,
Ithaca College,Div III,NCGA East,Mya,John,9.485,9.625,9.460,,
Ithaca College,Div III,NCGA East,Lucy,Kaupp,,9.180,,9.575,
Ithaca College,Div III,NCGA East,Emily,Kobusky,,,9.715,,
Ithaca College,Div III,NCGA East,Olivia,Lane,,9.140,,,
Ithaca College,Div III,NCGA East,Grace,Murray,9.745,,,9.850,
Ithaca College,Div III,NCGA East,Natalie,Steed,9.565,,,,
Ithaca College,Div III,NCGA East,Sh'Nai,Thompson,9.390,,,9.640,
Rhode Island College,Div III,NCGA East,Mila,Beckhom,9.335,,,,
Rhode Island College,Div III,NCGA East,Liz,Shrewsbury,,,,9.720,
Simpson,Div III,WIAC,Emmie,Barton,9.675,,9.260,,
Simpson,Div III,WIAC,Kaley,Bristow,,,,9.520,
Simpson,Div III,WIAC,Izzy,Brown,,,9.210,9.550,
Simpson,Div III,WIAC,Emma,Charles,9.630,9.180,,,
Simpson,Div III,WIAC,Annika,Cole,,,,9.560,
Simpson,Div III,WIAC,Alexa,Denton,,9.235,,,
Simpson,Div III,WIAC,Bella,Dix,,,,9.605,
Simpson,Div III,WIAC,Olivia,Hedary,,,9.325,,
Simpson,Div III,WIAC,Brooklen,Morgan,,,8.975,9.700,
Simpson,Div III,WIAC,Kendall,Pinkelman,9.605,,,,
Simpson,Div III,WIAC,Evalyn,Resnick,,9.535,9.505,,
Simpson,Div III,WIAC,Liz,Sisler,,9.645,,,
Simpson,Div III,WIAC,Kaelyn,Tally,9.745,,,9.740,
Simpson,Div III,WIAC,Rachel,Welch,9.495,,9.595,,
Springfield College,Div III,NCGA East,Scarlette,Ayakawa,,,9.440,,
Springfield College,Div III,NCGA East,Sydney,Bendick,,8.790,,,
Springfield College,Div III,NCGA East,Brianna,Cassin,9.375,,,,
Springfield College,Div III,NCGA East,Reagan,Charlton,,,9.480,,
Springfield College,Div III,NCGA East,Kora,Donley,9.490,,9.180,9.690,
Springfield College,Div III,NCGA East,Claire,Geiger,9.395,8.895,,9.460,
Springfield College,Div III,NCGA East,Brooke,Ginter,,,9.485,,
Springfield College,Div III,NCGA East,Nicolette,Giogas,,8.560,,,
Springfield College,Div III,NCGA East,Sage,Kaplan,9.530,9.200,,9.505,
Springfield College,Div III,NCGA East,Ava,Kelley,,,9.355,,
Springfield College,Div III,NCGA East,Liz,Lehan,,8.935,,,
Springfield College,Div III,NCGA East,Julia,Reer,,,,9.580,
Springfield College,Div III,NCGA East,Emma,Skowronek,,9.295,,,
Springfield College,Div III,NCGA East,Stacy,Taylor,9.565,,,9.675,
Springfield College,Div III,NCGA East,Abigail,Walters,,,9.290,,
UW-La Crosse,Div III,WIAC,Ava,Kaspryzcki,9.650,,,,
UW-Oshkosh,Div III,WIAC,Sam,Dorrity,,,9.675,,
UW-Stout,Div III,WIAC,Maggie,Ryan,9.195,,,,
UW-Whitewater,Div III,WIAC,Sophia,Spadafora,9.650,,9.605,,
Ursinus College,Div III,NCGA East,Belle ,Bentman,,,,8.720,
Ursinus College,Div III,NCGA East,Lauren,Coleman,,9.310,,,
Ursinus College,Div III,NCGA East,Brianna,Duffy,,8.820,,,
Ursinus College,Div III,NCGA East,Michaela,Duffy,9.580,,9.455,9.540,
Ursinus College,Div III,NCGA East,Arianna,Ellis,,,9.585,9.630,
Ursinus College,Div III,NCGA East,Valentina,Hurtado,9.420,,,,
Ursinus College,Div III,NCGA East,Erin,Roe,9.755,9.670,9.575,9.620,38.415
Ursinus College,Div III,NCGA East,Kylie,Ruggiero,,8.890,,,
Ursinus College,Div III,NCGA East,LeeLee,Sanders,,9.420,,,
Ursinus College,Div III,NCGA East,Sidney,Schreiber,9.705,,9.460,9.795,
Ursinus College,Div III,NCGA East,Lily,Stewart,9.465,,,,
Ursinus College,Div III,NCGA East,Lucy,Warburton,,9.460,9.645,9.675,
Utica,Div III,NCGA East,Jenna,DiPalo,9.455,,9.235,,
Wilberforce,Div III,Ind.,Mackenzie,Butler,8.945,,9.210,,
Wilberforce,Div III,Ind.,Mya,Caines,9.335,8.665,8.280,8.815,34.690
